"ServiceName","DisplayName","StartName","StartMode","State","PathName","ExePathRaw","ArgsRaw","ParseMethod","Confidence","IsQuoted","IsMalformed","HasSpaces","FindingCount","FindingsSummary","FindingsJson","RiskScore","RiskLevel"
"AJRouter","AllJoyn Router Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"ALG","Application Layer Gateway Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\System32\alg.exe","C:\Windows\System32\alg.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AppIDSvc","Application Identity","NT Authority\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Appinfo","Application Information","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AppMgmt","Application Management","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AppReadiness","App Readiness","LocalSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k AppReadiness -p","C:\Windows\System32\svchost.exe","-k AppReadiness -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AppXSvc","AppX Deployment Service (AppXSVC)","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k wsappx -p","C:\Windows\system32\svchost.exe","-k wsappx -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AssignedAccessManagerSvc","AssignedAccessManager Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc","C:\Windows\system32\svchost.exe","-k AssignedAccessManagerSvc","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","LocalSystem","Auto","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Audiosrv","Windows Audio","NT AUTHORITY\LocalService","Auto","Running","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"autotimesvc","Cellular Time","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k autoTimeSvc","C:\Windows\system32\svchost.exe","-k autoTimeSvc","UnquotedExt","High","False","False","False","0","","[]","0","None"
"AxInstSV","ActiveX Installer (AxInstSV)","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k AxInstSVGroup","C:\Windows\system32\svchost.exe","-k AxInstSVGroup","UnquotedExt","High","False","False","False","0","","[]","0","None"
"BDESVC","BitLocker Drive Encryption Service","localSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"BFE","Base Filtering Engine","NT AUTHORITY\LocalService","Auto","Running","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","C:\Windows\system32\svchost.exe","-k LocalServiceNoNetworkFirewall -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"BITS","Background Intelligent Transfer Service","LocalSystem","Auto","Running","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"BrokerInfrastructure","Background Tasks Infrastructure Service","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","-k DcomLaunch -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"BTAGService","Bluetooth Audio Gateway Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted","UnquotedExt","High","False","False","False","0","","[]","0","None"
"BthAvctpSvc","AVCTP service","NT AUTHORITY\LocalService","Manual","Running","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"bthserv","Bluetooth Support Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"camsvc","Capability Access Manager Service","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k appmodel -p","C:\Windows\system32\svchost.exe","-k appmodel -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"CDPSvc","Connected Devices Platform Service","NT AUTHORITY\LocalService","Auto","Running","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"CertPropSvc","Certificate Propagation","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k netsvcs","C:\Windows\system32\svchost.exe","-k netsvcs","UnquotedExt","High","False","False","False","0","","[]","0","None"
"ClipSVC","Client License Service (ClipSVC)","LocalSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k wsappx -p","C:\Windows\System32\svchost.exe","-k wsappx -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"cloudidsvc","Microsoft Cloud Identity Service","NT AUTHORITY\NetworkService","Manual","Stopped","C:\Windows\system32\svchost.exe -k CloudIdServiceGroup -p","C:\Windows\system32\svchost.exe","-k CloudIdServiceGroup -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"COMSysApp","COM+ System Application","LocalSystem","Manual","Stopped","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","C:\Windows\system32\dllhost.exe","/Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","UnquotedExt","High","False","False","False","0","","[]","0","None"
"CoreMessagingRegistrar","CoreMessaging","NT AUTHORITY\LocalService","Auto","Running","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","C:\Windows\system32\svchost.exe","-k LocalServiceNoNetwork -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"CryptSvc","Cryptographic Services","NT Authority\NetworkService","Auto","Running","C:\Windows\system32\svchost.exe -k NetworkService -p","C:\Windows\system32\svchost.exe","-k NetworkService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"CscService","Offline Files","LocalSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"DcomLaunch","DCOM Server Process Launcher","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","-k DcomLaunch -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"dcsvc","dcsvc","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"defragsvc","Optimize drives","localSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k defragsvc","C:\Windows\system32\svchost.exe","-k defragsvc","UnquotedExt","High","False","False","False","0","","[]","0","None"
